"Admin2","year","PR","LCI","UCI","source","sd_low","sd_high","sd"
"Kalale",2012,50.4896405396263,35.681720181543,64.7421765117989,"MAP shared by Punam",7.55506140718536,7.27170202661869,7.55506140718536
"Kalale",2013,54.0053686166123,33.0969471436216,72.5348025753992,"MAP shared by Punam",10.6675619760156,9.45379283611581,10.6675619760156
"Kalale",2014,57.5164815039955,31.603757652393,78.7876778959447,"MAP shared by Punam",13.2207774753074,10.8526512203822,13.2207774753074
"Kalale",2015,60.3641008759268,34.9645249384178,81.0054921019441,"MAP shared by Punam",12.9589673150556,10.5313220540905,12.9589673150556
"Kalale",2016,60.3139863480523,41.2691243514108,76.3747816203753,"MAP shared by Punam",9.71676632481711,8.19428330220559,9.71676632481711
"Kalale",2017,54.288135375097,41.4908013363245,66.4558396760784,"MAP shared by Punam",6.52925206059823,6.20801239845991,6.52925206059823
"Kalale",2018,49.274984643632,35.9937887271567,63.3612465548443,"MAP shared by Punam",6.77612036554864,7.18686832204708,7.18686832204708
"Kalale",2019,46.4929200562348,29.8768827648221,62.7497829650533,"MAP shared by Punam",8.47757004663909,8.2943178106217,8.47757004663909
"Parakou",2000,43.4608745745567,9.4625033253952,89.7745565690508,"MAP shared by Punam",17.3461077801844,23.6294295890276,23.6294295890276
"Parakou",2001,44.0677641426981,10.0239008562234,82.7640822671266,"MAP shared by Punam",17.3693180033035,19.743019451239,19.743019451239
"Parakou",2002,46.5693490571544,12.239356951205,84.7372306855996,"MAP shared by Punam",17.5153020948721,19.4734089941047,19.4734089941047
"Parakou",2003,50.7481878956428,13.426706961816,88.4741308139348,"MAP shared by Punam",19.0415719050137,19.247930060353,19.247930060353
"Parakou",2004,54.5173787434951,15.7451806672843,91.6424276082638,"MAP shared by Punam",19.7817337123524,18.9413514616167,19.7817337123524
"Parakou",2005,57.881214638355,13.0804444724275,94.7012677217058,"MAP shared by Punam",22.8575357989426,18.7857413690566,22.8575357989426
"Parakou",2006,58.2222251090149,11.9917581359153,95.1876307468593,"MAP shared by Punam",23.586972945459,18.8599008356349,23.586972945459
"Parakou",2007,53.8358479396266,12.6909030455321,91.5196283678131,"MAP shared by Punam",20.9923188235176,19.2264185858094,20.9923188235176
"Parakou",2008,46.3080605176683,14.5118662351424,80.2815409078167,"MAP shared by Punam",16.2225481033296,17.3334083623206,17.3334083623206
"Parakou",2009,37.7985272781595,14.5544274373735,68.1742035030722,"MAP shared by Punam",11.8592346126459,15.4977939923024,15.4977939923024
"Parakou",2010,32.2090589105313,12.2380733954792,58.5603100742092,"MAP shared by Punam",10.1892783240061,13.4445158998357,13.4445158998357
"Parakou",2011,30.0620848950334,14.4380409009467,47.1218900938268,"MAP shared by Punam",7.97145101739119,8.70398224428233,8.70398224428233
"Parakou",2012,33.3206747773549,23.8253333657388,42.2165472420679,"MAP shared by Punam",4.84456194470211,4.53871044118011,4.84456194470211
"Parakou",2013,39.2028777668938,25.3361015762477,53.1076737595446,"MAP shared by Punam",7.07488581155413,7.09428366971981,7.09428366971981
"Parakou",2014,43.3802778222993,24.1044564567368,62.1845381435699,"MAP shared by Punam",9.83460273753188,9.59401036799521,9.83460273753188
"Parakou",2015,46.8956359395108,25.811417448835,66.2534105488665,"MAP shared by Punam",10.7572543319775,9.8764156170182,10.7572543319775
"Parakou",2016,46.9147256223707,30.5029708304463,62.2871265123855,"MAP shared by Punam",8.3733442815941,7.843061678579,8.3733442815941
"Parakou",2017,40.4300717779956,29.8147914027875,51.3316417974593,"MAP shared by Punam",5.4159593751062,5.56202552013452,5.56202552013452
"Parakou",2018,35.4934202989943,25.0875083322992,48.4480595481695,"MAP shared by Punam",5.30913875851792,6.60950982100774,6.60950982100774
"Parakou",2019,33.4153953344713,19.8170391365366,50.9325474772271,"MAP shared by Punam",6.937936835681,8.93732252181418,8.93732252181418
"Bembereke",2000,44.3874658598306,10.7258801497876,81.5931984674032,"MAP shared by Punam",17.1742784234913,18.9825166365166,18.9825166365166
"Bembereke",2001,45.9691889017603,11.5831285092597,86.0385809346036,"MAP shared by Punam",17.5439083635207,20.4435673636955,20.4435673636955
"Bembereke",2002,48.8748451124538,10.6173039766585,90.1389149393176,"MAP shared by Punam",19.5191536407119,21.0530968504407,21.0530968504407
"Bembereke",2003,51.8225008890762,11.3525976213476,90.530109645932,"MAP shared by Punam",20.6479098304738,19.7487799779877,20.6479098304738
"Bembereke",2004,55.5870324108071,14.8893233706094,89.8737668257094,"MAP shared by Punam",20.764137265407,17.4932318443379,20.764137265407
"Bembereke",2005,58.5749113500742,17.0966598425439,91.9501014401017,"MAP shared by Punam",21.1623732181277,17.0281582091977,21.1623732181277
"Bembereke",2006,60.3461674424087,15.8927778377842,92.2384630990879,"MAP shared by Punam",22.680300818686,16.271579416673,22.680300818686
"Bembereke",2007,58.9147113693007,17.413584258962,90.0764173434697,"MAP shared by Punam",21.1740444440504,15.8988295786576,21.1740444440504
"Bembereke",2008,55.7761803682691,22.704888539203,84.7088389587786,"MAP shared by Punam",16.8731080760541,14.761560505362,16.8731080760541
"Bembereke",2009,51.0169091298444,23.7585606943175,77.7601216475596,"MAP shared by Punam",13.9073206303709,13.6444961825078,13.9073206303709
"Bembereke",2010,45.9503463571801,23.9413027955804,69.8459083738421,"MAP shared by Punam",11.229103857959,12.1916132738072,12.1916132738072
"Bembereke",2011,41.8176245448342,26.4934675341761,59.2207031646707,"MAP shared by Punam",7.81844745441737,8.87912174481455,8.87912174481455
"Bembereke",2012,40.8479704683652,30.9553867342693,52.682241606058,"MAP shared by Punam",5.04723659902852,6.03789343759838,6.03789343759838
"Bembereke",2013,42.5415032168836,26.8516322002016,63.2383120928208,"MAP shared by Punam",8.00503623300101,10.5595963652741,10.5595963652741
"Bembereke",2014,44.4024022484622,25.1983997198441,69.6348393710135,"MAP shared by Punam",9.79796047378476,12.873692409465,12.873692409465
"Bembereke",2015,46.6801259100724,27.794947312791,70.9723851158128,"MAP shared by Punam",9.63529520269464,12.3940097988471,12.3940097988471
"Bembereke",2016,47.4312899299077,33.0805537670996,63.7461377373022,"MAP shared by Punam",7.32180416469798,8.32390194254825,8.32390194254825
"Bembereke",2017,42.4738524024445,31.3053434931283,54.6071700833712,"MAP shared by Punam",5.69821883128378,6.19046820455445,6.19046820455445
"Bembereke",2018,39.3849892700189,26.5400603080266,51.926227566493,"MAP shared by Punam",6.55353518468995,6.39859096758879,6.55353518468995
"Bembereke",2019,38.0723010530601,22.6278807685628,56.0284661278078,"MAP shared by Punam",7.87980626760067,9.16130871160595,9.16130871160595
"Perere",2000,48.5541253105618,13.1713839233187,88.2309079683129,"MAP shared by Punam",18.0524190751241,20.2432564580363,20.2432564580363
"Perere",2001,49.5645240166011,12.6318837052368,85.0621018588178,"MAP shared by Punam",18.8431838323287,18.1110091031718,18.8431838323287
"Perere",2002,52.0412517281195,14.1300969659574,89.0521810837913,"MAP shared by Punam",19.3424258990623,18.8831272222815,19.3424258990623
"Perere",2003,55.1772701709976,16.8446666271943,90.9297103881882,"MAP shared by Punam",19.5574507876547,18.2410409271381,19.5574507876547
"Perere",2004,59.6773345838733,19.9763126249597,91.521252108212,"MAP shared by Punam",20.2556234484253,16.2468966960912,20.2556234484253
"Perere",2005,62.8414320623272,19.3046614275087,92.1516934370538,"MAP shared by Punam",22.2126380789891,14.9542149871054,22.2126380789891
"Perere",2006,63.4705493286345,18.7606794684103,92.784426081292,"MAP shared by Punam",22.8111580919511,14.9560595676824,22.8111580919511
"Perere",2007,60.898575734641,19.9529228789202,90.647721417404,"MAP shared by Punam",20.8906392121025,15.1781355524301,20.8906392121025
"Perere",2008,55.6907964855134,20.7502675198659,86.3980250189478,"MAP shared by Punam",17.8268004926773,15.6669533333849,17.8268004926773
"Perere",2009,49.4403133864954,19.4838275569454,78.3031170885104,"MAP shared by Punam",15.2839213416072,14.7259202561301,15.2839213416072
"Perere",2010,45.3664809756068,20.7548642906998,71.7929608934612,"MAP shared by Punam",12.5569472882179,13.4828979172726,13.4828979172726
"Perere",2011,43.5301900660322,25.7369237436,63.5304417594421,"MAP shared by Punam",9.07819710328174,10.2042100476581,10.2042100476581
"Perere",2012,46.6393885052132,36.9425746736877,59.9434011111402,"MAP shared by Punam",4.94735399567629,6.78776153363622,6.78776153363622
"Perere",2013,52.9776113581646,35.0448920855038,70.8982908624294,"MAP shared by Punam",9.14934656768411,9.14320382870654,9.14934656768411
"Perere",2014,57.6306811237629,33.9033792232379,77.3883239822911,"MAP shared by Punam",12.105766275778,10.0804300298613,12.105766275778
